name,latitude,longitude
Masvingo,-20.0596,30.8200
Bulawayo,-20.1700,28.5800
Victoria Falls,-17.9296,25.8400
Chitungwiza,-18.0000,31.1000
Maqat,47.6482,53.3265
Zhangaozen,43.3004,52.8000
Taraz,42.9000,71.3650
Shymkent,42.3200,69.5950
Oral,51.2711,51.3350
Balqash,46.8532,74.9502
Zaysan,47.4752,84.8598
Oytal,42.9153,73.2549
Zholymbet,51.7502,71.7099
Serebryansk,49.6999,83.4249
Chapaev,50.1915,51.1449
Ridder,50.3554,83.5149
Zhaltyr,51.6324,69.8328
Atbasar,51.8219,68.3477
Aqsay,51.1714,53.0349
Shemonaikha,50.6316,81.9050
Atasu,48.6903,71.6499
Rudny,52.9527,63.1300
Makhambet,47.6714,51.5798
Fort Shevchenko,44.5171,50.2666
Qusmuryn,52.4580,64.6000
Oktyabrsk,49.4731,57.4449
Khromtau,50.2699,58.4500
Algha,49.9032,57.3350
Embi,48.8268,58.1442
Ushtobe,45.2653,77.9700
Burylbaytal,44.9387,74.0303
Zhanibek,49.4276,46.8772
Esil,51.9570,66.3775
Derzhavinsk,51.1021,66.3075
Saryshaghan,46.1195,73.6191
Turgay,49.6260,63.4990
Sarqan,45.4203,79.9149
Arqalyq,50.2418,66.8976
Shalqar,47.8363,59.6141
Shieli,44.1670,66.7500
Bayghanin,48.6917,55.8740
Zhezqazghan,47.7800,67.7700
Mangyshlak,43.6905,51.1417
Zhosaly,45.4877,64.0780
Beyneu,45.1834,55.1000
Qazaly,45.7628,62.1075
Aral,46.8000,61.6666
Ayakoz,47.9647,80.4297
Urzhar,47.1002,81.6048
Qapshaghay,43.8844,77.0687
Esik,43.3691,77.4438
Turkistan,43.3016,68.2549
Qaratau,43.1854,70.4600
Sharbaqty,52.4999,78.1499
Oostanay,53.2209,63.6283
Kachiry,53.0804,76.0900
Kishkenekol,53.6368,72.3414
Bulaevo,54.9053,70.4400
Shonzhy,43.5421,79.4703
Qyzylorda,44.8000,65.4650
Qaraghandy,49.8850,73.1150
Ertis,53.3453,75.4499
Tayynsha,53.8481,69.7638
Qulan,42.9204,72.7050
Shu,43.5953,73.7448
Kentau,43.5165,68.5199
Oskemen,49.9900,82.6149
Aqtau,43.6232,51.2365
Taldyqorghan,45.0000,78.4000
Astana,51.1811,71.4278
Aqtobe,50.2800,57.1700
Kokshetau,53.3000,69.4200
Petropavlovsk,54.8800,69.2200
Pavlodar,52.3000,76.9500
Otar,43.5346,75.2139
Almaty,43.3250,76.9150
Bestobe,52.4997,73.0997
Arys,42.4369,68.8048
Lenger,42.1899,69.8799
Aqsu,52.4502,71.9597
Temirtau,50.0650,72.9650
Makinsk,52.6404,70.4100
Osakarovka,50.5799,72.5699
Qarqaraly,49.4249,75.4649
Ekibastuz,51.7300,75.3199
Zyryanovsk,49.7453,84.2548
Komsomolets,53.7506,62.0502
Baykonur,45.6914,63.2413
Erymentau,51.6303,73.1049
Qarazhal,48.0253,70.7999
Tobol,52.6980,62.5749
Shar,49.6003,81.0549
Semey,50.4350,80.2750
Boralday,43.3341,76.8288
Zhetiqara,52.1930,61.2399
Aqadyr,48.2749,72.8599
Zharkent,44.1616,79.9801
Qulsary,46.9833,54.0165
Balyqshy,47.0666,51.8666
Atyrau,47.1127,51.9200
Xiangkhoang,19.3337,103.3666
Muang Phônsavan,19.4500,103.2167
Vientiane,17.9667,102.6000
Ban Houayxay,20.2775,100.4128
Muang Phôn-Hông,18.4957,102.4142
Louang Namtha,20.9500,101.4167
Phongsali,21.6833,102.1000
Thakhek,17.4112,104.8361
Muang Pakxan,18.3826,103.6586
Louangphrabang,19.8845,102.1416
Xaignabouri,19.2505,101.7501
Savannakhet,16.5376,104.7730
Lamam,15.4171,106.6946
Pakxe,15.1221,105.8183
Attapu,14.8080,106.8390
Xam Nua,20.4167,104.0333
Muang Xai,20.6923,101.9847
Saravan,15.7160,106.4270
Champasak,14.8833,105.8667
Beirut,33.8720,35.5097
Zahlé,33.8501,35.9042
Baalbek,34.0058,36.2181
B'abda,33.8333,35.5333
Halba,34.5428,36.0797
Saida,33.5630,35.3688
Nabatiye et Tahta,33.3833,35.4500
Trablous,34.4200,35.8700
Castries,14.0020,-61.0000
Gamprin,47.2197,9.5113
Triesenberg,47.1182,9.5444
Schaan,47.1661,9.5096
Ruggell,47.2408,9.5247
Mauren,47.2205,9.5426
Eschen,47.2109,9.5216
Triesen,47.1101,9.5240
Balzers,47.0667,9.5025
Vaduz,47.1337,9.5167
Planken,47.1844,9.5436
Schellenberg,47.2325,9.5463
Colombo,6.9320,79.8578
Ratnapura,6.6930,80.3860
Matara,5.9490,80.5428
Sri Jawewardenepura Kotte,6.9000,79.9500
Moratuwa,6.7804,79.8800
Anuradhapura,8.3500,80.3833
Galle,6.0300,80.2400
Puttalan,8.0330,79.8260
Kandy,7.2800,80.6700
Badulla,6.9837,81.0499
Trincomalee,8.5690,81.2330
Kilinochchi,9.4004,80.3999
Batticaloa,7.7170,81.7000
Jaffna,9.6750,80.0050
Bopolu,7.0667,-10.4875
Voinjama,8.4167,-9.7500
Robertsport,6.7533,-11.3686
Buchanan,5.9161,-10.0525
Monrovia,6.3106,-10.8048
Tubmanburg,6.8706,-10.8211
Buchanan,5.8811,-10.0447
Zwedru,6.0704,-8.1300
Barclayville,4.8000,-8.1667
Rivercess,5.4650,-9.5780
Fish Town,5.1974,-7.8758
Gbarnga,7.0104,-9.4900
Kakata,6.5260,-10.3490
Sanniquellie,7.3710,-8.6850
Greenville,5.0111,-9.0388
Bensonville,6.4333,-10.6000
Harper,4.3754,-7.7170
Maseru,-29.3167,27.4833
Mokhotlong,-29.2910,29.0780
Thaba-Tseka,-29.5220,28.6084
Moyeni,-30.4110,27.7160
Qacha’s Nek,-30.1154,28.6894
Mafetang,-29.8166,27.2500
Hlotse,-28.8780,28.0560
Teyateyaneng,-29.1530,27.7530
Mohales Hoek,-30.1590,27.4800
Butha-Buthe,-28.7500,28.2500
Klaipėda,55.7204,21.1199
Palanga,55.9203,21.0710
Nida,55.3086,20.9965
Kretinga,55.8888,21.2445
Tauragė,55.2522,22.2897
Šilutė,55.3453,21.4733
Rietavas,55.7271,21.9234
Plungė,55.9077,21.8456
Šilalė,55.4898,22.1869
Visaginas,55.5968,26.4398
Zarasai,55.7322,26.2512
Ignalina,55.3406,26.1605
Utena,55.4976,25.5992
Švenčionys,55.1330,26.1595
Rokiškis,55.9587,25.5947
Molėtai,55.2247,25.4169
Šalčininkai,54.3086,25.3868
Vilnius,54.6834,25.3166
Kupiškis,55.8401,24.9803
Trakai,54.6399,24.9360
Biržai,56.1986,24.7521
Anykščiai,55.5246,25.1066
Telšiai,55.9831,22.2343
Kelmė,55.6301,22.9349
Marijampolė,54.5599,23.3541
Lazdijai,54.2333,23.5147
Šakiai,54.9534,23.0478
Radviliškis,55.8111,23.5411
Šiauliai,55.9386,23.3250
Birštonas,54.6048,24.0311
Druskininkai,54.0157,23.9870
Kėdainiai,55.2878,23.9727
Alytus,54.3964,24.0414
Prienai,54.6360,23.9458
Elektrėnai,54.7863,24.6626
Kaunas,54.9504,23.8800
Jonava,55.0801,24.2754
Kaišiadorys,54.8653,24.4682
Panevežys,55.7400,24.3700
Joniškis,56.2394,23.6154
Kazlų Rūda,54.7497,23.4950
Vilkaviškis,54.6480,23.0305
Pasvalys,56.0625,24.3997
Pakruojis,55.9789,23.8551
Raseiniai,55.3797,23.1239
Pagėgiai,55.1379,21.9138
Jurbarkas,55.0756,22.7642
Kalvarija,54.4172,23.2283
Širvintos,55.0440,24.9545
Skuodas,56.2706,21.5321
Mažeikiai,56.3122,22.3265
Akmenė,56.2500,22.7500
Ukmergė,55.2494,24.7636
Varėna,54.2155,24.5754
Capellen,49.6450,5.9908
Esch-sur-Alzette,49.4958,5.9806
Remich,49.5450,6.3669
Echternach,49.8056,6.4222
Mersch,49.7489,6.1061
Redange-sur-Attert,49.7656,5.8908
Vianden,49.9350,6.2089
Wiltz,49.9689,5.9319
Clervaux,50.0547,6.0314
Diekirch,49.8833,6.1667
Grevenmacher,49.7000,6.3333
Luxembourg,49.6117,6.1300
Skrunda,56.6833,22.0167
Daugavpils,55.8800,26.5100
Jēkabpils,56.4833,25.8500
Aglona,56.1333,27.0167
Lielvārde,56.7225,24.8050
Saldus,56.6667,22.5000
Ozolnieki,56.6864,23.7878
Brocēni,56.7000,22.5333
Jelgava,56.6527,23.7128
Pilsrundāle,56.4167,24.0000
Dobele,56.6250,23.2786
Iecava,56.5986,24.2022
Jaunpils,56.7325,23.0136
Auce,56.4667,22.8833
Tukums,56.9669,23.1553
Tērvete,56.4781,23.3867
Salacgrīva,57.7531,24.3590
Ventspils,57.3899,21.5606
Dundaga,57.5050,22.3504
Jaunjelgava,56.6132,25.0832
Nereta,56.2044,25.3077
Alsunga,56.9801,21.5640
Kuldīga,56.9690,21.9680
Pāvilosta,56.8898,21.1817
Piņķi,56.9419,23.9137
Ādaži,57.0705,24.3371
Kandava,57.0389,22.7724
Roja,57.5015,22.8088
Carnikava,57.1293,24.2842
Garkalne,57.0449,24.4195
Saulkrasti,57.2599,24.4189
Smārde,56.9533,23.3387
Mērsrags,57.3364,23.1235
Talsi,57.2465,22.5876
Jūrmala,56.9567,23.7233
Mārupe,56.9032,24.0467
Ulbroka,56.9363,24.3039
Zilupe,56.3860,28.1218
Ludza,56.5396,27.7189
Dagda,56.0961,27.5328
Baltinava,56.9439,27.6440
Cibla,56.5498,27.8837
Kārsava,56.7874,27.6732
Riga,56.9500,24.1000
Krāslava,55.8969,27.1720
Limbaži,57.5130,24.7240
Preiļi,56.2940,26.7248
Vecvārkava,56.1984,26.5081
Ilūkste,55.9779,26.2978
Nīca,56.3456,21.0646
Bauska,56.4079,24.1944
Viļaka,57.1843,27.6719
Līvāni,56.3567,26.1761
Alūksne,57.4216,27.0466
Rēzekne,56.5000,27.3166
Rugāji,57.0033,27.1337
Riebiņi,56.3403,26.7999
Viļāni,56.5505,26.9298
Varakļāni,56.6091,26.7547
Ape,57.5394,26.6940
Madona,56.8510,26.2184
Jaunpiebalga,57.1775,26.0284
Lubāna,56.9043,26.7161
Gulbene,57.1734,26.7527
Balvi,57.1287,27.2700
Aknīste,56.1615,25.7482
Viesīte,56.3465,25.5581
Cesvaine,56.9675,26.3076
Ķegums,56.7455,24.7250
Vecpiebalga,57.0618,25.8179
Smiltene,57.4242,25.9017
Drabeši,57.2433,25.2803
Cēsis,57.3091,25.2761
Ērgļi,56.8988,25.6429
Valka,57.7767,26.0118
Grobiņa,56.5358,21.1747
Strenči,57.6269,25.6919
Mūrmuiža,57.4731,25.4917
Mazsalaca,57.8619,25.0547
Aloja,57.7672,24.8774
Burtnieki,57.6949,25.2750
Koknese,56.6516,25.4364
Aizkraukle,56.6029,25.2636
Skrīveri,56.6485,25.1195
Baldone,56.7445,24.4008
Vecumnieki,56.6061,24.5223
Sala,56.5047,25.7618
Pļaviņas,56.6177,25.7194
Liepaga,56.5100,21.0100
Rūjiena,57.8961,25.3342
Naukšēni,57.8842,25.4580
Lieģi,56.5797,21.3338
Rauna,57.3337,25.6085
Aizpute,56.7211,21.6016
Kocēni,57.5198,25.3404
Valmiera,57.5387,25.4257
Sigulda,57.1538,24.8595
Priekuļi,57.3115,25.3571
Ogre,56.8113,24.6113
Ragana,57.1821,24.7056
Loja,57.1534,24.6433
Ropaži,56.9747,24.6329
Priekule,56.4458,21.5939
Rucava,56.1640,21.1627
Salaspils,56.8610,24.3498
Ikšķile,56.8340,24.4968
Inčukalns,57.0987,24.6863
Mālpils,57.0101,24.9578
Olaine,56.7947,23.9358
Ķekava,56.8296,24.2318
Līgatne,57.2379,25.0436
Stalbe,57.3708,25.0324
Vaiņode,56.4185,21.8541
Tripoli,32.8925,13.1800
Gharyan,32.1704,13.0200
Surt,31.2100,16.5900
Marzuq,25.9044,13.8972
Sabha,27.0333,14.4333
Misratah,32.3800,15.1000
Al ‘Azīzīyah,32.5319,13.0175
Zuwarah,32.9344,12.0791
Nalut,31.8804,10.9700
Hun,29.1167,15.9333
Darnah,32.7648,22.6391
Al Bayda,32.7604,21.6200
Az Zawiyah,32.7604,12.7200
Tajarhi,24.3704,14.4708
Al Jaghbub,29.7504,24.5166
Awjilah,29.1080,21.2869
Al Khums,32.6604,14.2600
Ajdabiya,30.7700,20.2200
Al Kufrah,24.1667,23.2696
Al Jawf,24.2000,23.2900
As Sidr,30.6704,18.2666
Umm al Abid,27.5170,15.0333
Banghazi,32.1167,20.0667
Dirj,30.1679,10.4567
Mizdah,31.4337,12.9833
Ghadamis,30.1333,9.5000
Qaminis,31.6606,20.0155
Awbārī,26.5903,12.7751
Ghat,24.9647,10.1728
Bani Walid,31.7704,13.9900
Zillah,28.5504,17.5834
Tmassah,26.3666,15.8000
Idrī,27.4471,13.0517
El Agheila,30.2570,19.2000
Birak,27.5333,14.2834
Maradah,29.2337,19.2166
Shahhat,32.8281,21.8622
Al Marj,32.5005,20.8300
Tubruq,32.0800,23.9600
Kenitra,34.2704,-6.5800
Goulimine,28.9800,-10.0700
Fez,34.0546,-5.0004
Casablanca,33.6000,-7.6164
Agadir,30.4400,-9.6200
Béni Mellal,32.3373,-6.3498
Tangier,35.7473,-5.8327
Settat,33.0104,-7.6200
Oujda,34.6900,-1.9100
Meknes,33.9004,-5.5600
Rabat,34.0253,-6.8361
Marrakesh,31.6300,-8.0000
El Jadida,33.2604,-8.5100
Er Rachidia,31.9404,-4.4500
Tan Tan,28.4304,-11.1000
Taza,34.2204,-4.0200
Larache,35.2004,-6.1600
Ksar El Kebir,35.0204,-5.9100
Safi,32.3200,-9.2400
Tiznit,29.7104,-9.7400
Ouezzane,34.8103,-5.5700
Monaco,43.7396,7.4069
Leova,46.4823,28.2530
Rezina,47.7493,28.9658
Căuşeni,46.6367,29.4111
Rîşcani,47.9479,27.5638
Sîngerei,47.6363,28.1430
Făleşti,47.5767,27.7126
Floreşti,47.8914,28.2931
Şoldăneşti,47.8161,28.7972
Ştefan Vodă,46.5129,29.6619
Orhei,47.3849,28.8245
Comrat,46.2946,28.6565
Cimişlia,46.5268,28.7644
Cantemir,46.2774,28.2027
Basarabeasca,46.3317,28.9636
Edineţ,48.1721,27.3034
Ocniţa,48.3827,27.4381
Drochia,48.0355,27.8129
Donduşeni,48.2394,27.6056
Briceni,48.3629,27.0779
Ialoveni,46.9435,28.7823
Bălți,47.7591,27.9053
Criuleni,47.2131,29.1593
Bender,46.8316,29.4777
Anenii Noi,46.8784,29.2348
Cahul,45.9079,28.1944
Chișinău,47.0050,28.8577
Straşeni,47.1422,28.6077
Tiraspol,46.8531,29.6400
Teleneşti,47.5011,28.3654
Taraclia,45.9027,28.6682
Dubăsari,47.2631,29.1608
Cocieri,47.3087,29.1101
Călăraşi,47.2556,28.3099
Glodeni,47.7751,27.5189
Hînceşti,46.8305,28.5906
Nisporeni,47.0816,28.1714
Soroca,48.1566,28.2849
Ungheni,47.2108,27.8005
Berane,42.8425,19.8733
Plav,42.5969,19.9456
Andrijevica,42.7339,19.7919
Petnjica,42.9089,19.9644
Gusinje,42.5619,19.8339
Kolašin,42.8242,19.5225
Podgorica,42.4660,19.2663
Bijelo Polje,43.0292,19.7456
Bar,42.0931,19.1003
Budva,42.2864,18.8400
Cetinje,42.3922,18.9225
Danilovgrad,42.5472,19.1053
Herceg-Novi,42.4531,18.5375
Kotor,42.4258,18.7719
Mojkovac,42.9639,19.5825
Nikšić,42.7750,18.9583
Plužine,43.1528,18.8394
Pljevlja,43.3522,19.3542
Rožaje,42.8439,20.1683
Šavnik,42.9564,19.0967
Tivat,42.4364,18.6961
Ulcinj,41.9283,19.2064
Žabljak,43.1547,19.1219
Marigot,18.0706,-63.0847
Antananarivo,-18.9166,47.5166
Toamasina,-18.1818,49.4050
Antalaha,-14.8833,50.2833
Maroantsetra,-15.4333,49.7333
Mandritsara,-15.8328,48.8166
Besalampy,-16.7495,44.4833
Marovoay,-16.0995,46.6333
Andoany,-13.4000,48.2666
Mahajanga,-15.6700,46.3450
